round,total_weight,quorum,safety,prepare_weight,commit_weight,primary,status
404,92,60,0,0,0,A,fail
405,100,59,55,55,0,A,fail
406,100,59,55,55,0,C,fail
407,110,55,100,110,110,A,success
408,101,59,54,55,0,C,fail
409,100,66,0,54,0,C,fail
410,100,59,55,55,0,A,fail
411,110,55,100,110,110,A,success
412,110,55,100,110,110,A,success
413,109,65,50,109,55,A,fail
414,109,65,50,109,55,A,fail
415,110,55,100,110,110,A,success
416,109,65,50,109,55,A,fail
417,110,55,100,110,110,A,success
418,109,65,50,109,55,A,fail
419,100,59,55,55,0,A,fail
420,108,71,0,108,0,A,fail
421,99,65,0,54,0,C,fail
422,110,55,100,110,110,A,success
423,110,55,100,110,110,A,success
424,100,66,0,54,0,A,fail
425,99,65,0,54,0,C,fail
426,108,71,0,108,0,A,fail
427,108,71,0,108,0,A,fail
428,108,71,0,108,0,A,fail
429,108,71,0,108,0,A,fail
430,109,65,50,109,55,C,fail
431,109,65,50,109,55,C,fail
432,108,71,0,108,0,A,fail
433,100,66,0,54,0,C,fail
434,108,71,0,108,0,A,fail
435,108,71,0,108,0,A,fail
436,100,66,0,54,0,A,fail
437,109,65,50,109,55,C,fail
438,109,65,50,109,55,C,fail
439,100,66,0,54,0,A,fail
440,110,55,100,110,110,A,success
441,100,59,55,55,0,C,fail
442,109,65,50,109,55,A,fail
443,108,71,0,108,0,A,fail
444,100,59,55,55,0,A,fail
445,100,66,0,54,0,C,fail
446,109,65,50,109,55,C,fail
447,109,65,50,109,55,A,fail
448,101,59,54,55,0,A,fail
449,92,60,0,0,0,A,fail
450,109,65,50,109,55,A,fail
451,91,60,0,0,0,C,fail
452,99,65,0,54,0,C,fail
453,99,65,0,54,0,A,fail
454,109,65,50,109,55,C,fail
455,108,71,0,108,0,A,fail
456,108,71,0,108,0,A,fail
457,110,55,100,110,110,A,success
458,109,65,50,109,55,C,fail
459,108,71,0,108,0,A,fail
460,109,65,50,109,55,C,fail
461,109,65,50,109,55,A,fail
462,109,65,50,109,55,A,fail
463,100,66,0,54,0,C,fail
464,101,59,54,55,0,C,fail
465,90,59,0,0,0,A,fail
466,100,59,55,55,0,A,fail
467,110,55,100,110,110,A,success
468,109,65,50,109,55,C,fail
469,101,59,54,55,0,A,fail
470,109,65,50,109,55,C,fail
471,108,71,0,108,0,A,fail
472,110,55,100,110,110,A,success
473,109,65,50,109,55,A,fail
474,110,55,100,110,110,A,success
475,109,65,50,109,55,C,fail
476,101,59,54,55,0,A,fail
477,100,59,55,55,0,A,fail
478,100,59,55,55,0,C,fail
479,109,65,50,109,55,A,fail
480,99,65,0,54,0,C,fail
481,108,71,0,108,0,A,fail
482,100,59,55,55,0,C,fail
483,101,59,54,55,0,A,fail
484,92,60,0,0,0,A,fail
485,110,55,100,110,110,A,success
486,109,65,50,109,55,A,fail
487,101,59,54,55,0,C,fail
488,108,71,0,108,0,A,fail
489,110,55,100,110,110,A,success
490,110,55,100,110,110,A,success
491,92,60,0,0,0,A,fail
492,110,55,100,110,110,A,success
493,99,65,0,54,0,A,fail
494,109,65,50,109,55,C,fail
495,108,71,0,108,0,A,fail
496,109,65,50,109,55,C,fail
497,108,71,0,108,0,A,fail
498,109,65,50,109,55,A,fail
499,108,71,0,108,0,A,fail
500,109,65,50,109,55,C,fail
