initial_trust,initial_risk,round,trust
0.1,0.14210526315789473,70,0.029335645426070825
0.1,0.14210526315789473,71,0.02848726982860663
0.1,0.14210526315789473,72,0.027640138833956496
0.1,0.14210526315789473,73,0.027089159840456796
0.1,0.14210526315789473,74,0.0264308948934057
0.1,0.14210526315789473,75,0.02569604150347199
0.1,0.14210526315789473,76,0.025009189605712516
0.1,0.14210526315789473,77,0.02425605172850788
0.1,0.14210526315789473,78,0.02370559383586941
0.1,0.14210526315789473,79,0.02313151580462751
0.1,0.14210526315789473,80,0.022646561017446283
0.1,0.14210526315789473,81,0.022004328255709575
0.1,0.14210526315789473,82,0.021191010535149206
0.1,0.14210526315789473,83,0.020554410562175968
0.1,0.14210526315789473,84,0.02002992275321654
0.1,0.14210526315789473,85,0.01916676411451863
0.1,0.14210526315789473,86,0.01862916186392821
0.1,0.14210526315789473,87,0.018299340477441826
0.1,0.14210526315789473,88,0.017934836482312595
0.1,0.14210526315789473,89,0.01752807366192916
0.1,0.14210526315789473,90,0.017268205075892065
0.1,0.14210526315789473,91,0.016994777141598007
0.1,0.14210526315789473,92,0.016658312559316147
0.1,0.14210526315789473,93,0.01632451690890148
0.1,0.14210526315789473,94,0.016056398669174493
0.1,0.14210526315789473,95,0.015810901807615123
0.1,0.14210526315789473,96,0.015570855783785063
0.1,0.14210526315789473,97,0.01533328761987025
0.1,0.14210526315789473,98,0.015059662024765243
0.1,0.14210526315789473,99,0.014655130870634431
0.1,0.18947368421052632,0,0.1
0.1,0.18947368421052632,1,0.09855851610448044
0.1,0.18947368421052632,2,0.09708547945297734
0.1,0.18947368421052632,3,0.09585682909831905
0.1,0.18947368421052632,4,0.09420566907575405
0.1,0.18947368421052632,5,0.0930847401926037
0.1,0.18947368421052632,6,0.09177975287030746
0.1,0.18947368421052632,7,0.09039705222804392
0.1,0.18947368421052632,8,0.08922565805210256
0.1,0.18947368421052632,9,0.08793013190505672
0.1,0.18947368421052632,10,0.08682380253759661
0.1,0.18947368421052632,11,0.08545192626110426
0.1,0.18947368421052632,12,0.08440865299708487
0.1,0.18947368421052632,13,0.08296213595057872
0.1,0.18947368421052632,14,0.08183332529741474
0.1,0.18947368421052632,15,0.08035097359131033
0.1,0.18947368421052632,16,0.07881121059260716
0.1,0.18947368421052632,17,0.07773036580822928
0.1,0.18947368421052632,18,0.07665185588364956
0.1,0.18947368421052632,19,0.07559613186266226
0.1,0.18947368421052632,20,0.07449273657565775
0.1,0.18947368421052632,21,0.0731112532878837
0.1,0.18947368421052632,22,0.07165150766650924
0.1,0.18947368421052632,23,0.0705721998010382
0.1,0.18947368421052632,24,0.06893756064132325
0.1,0.18947368421052632,25,0.06761864309054536
0.1,0.18947368421052632,26,0.0660318640787863
0.1,0.18947368421052632,27,0.06503947043147693
0.1,0.18947368421052632,28,0.06361675635860176
0.1,0.18947368421052632,29,0.06250115856652545
0.1,0.18947368421052632,30,0.06096946245236447
0.1,0.18947368421052632,31,0.05970381634460055
0.1,0.18947368421052632,32,0.05820544152894042
0.1,0.18947368421052632,33,0.05684323501228222
0.1,0.18947368421052632,34,0.055219166031268405
0.1,0.18947368421052632,35,0.05356912828520884
0.1,0.18947368421052632,36,0.05202938182201567
0.1,0.18947368421052632,37,0.05055697670753903
0.1,0.18947368421052632,38,0.049479309723911416
0.1,0.18947368421052632,39,0.04812089669497552
0.1,0.18947368421052632,40,0.046713358593505394
0.1,0.18947368421052632,41,0.045190681776556836
0.1,0.18947368421052632,42,0.043673197485505966
0.1,0.18947368421052632,43,0.042546060526282625
0.1,0.18947368421052632,44,0.041499176805191676
0.1,0.18947368421052632,45,0.039957612263428616
0.1,0.18947368421052632,46,0.038951158708553785
0.1,0.18947368421052632,47,0.03779381615195596
0.1,0.18947368421052632,48,0.03612897419280455
0.1,0.18947368421052632,49,0.03463041067773423
0.1,0.18947368421052632,50,0.03327984403539869
0.1,0.18947368421052632,51,0.03201482797874548
0.1,0.18947368421052632,52,0.030645493578191393
0.1,0.18947368421052632,53,0.029776658362542625
0.1,0.18947368421052632,54,0.028881015003148294
0.1,0.18947368421052632,55,0.027932984511983356
0.1,0.18947368421052632,56,0.02729211656412587
0.1,0.18947368421052632,57,0.026234441839700244
0.1,0.18947368421052632,58,0.025572503114387312
0.1,0.18947368421052632,59,0.024860907584968873
0.1,0.18947368421052632,60,0.024184449638588255
0.1,0.18947368421052632,61,0.023401877144926905
0.1,0.18947368421052632,62,0.02260005042013289
0.1,0.18947368421052632,63,0.0217777526704926
0.1,0.18947368421052632,64,0.02078798834382318
0.1,0.18947368421052632,65,0.019950309045384085
0.1,0.18947368421052632,66,0.019129753301386693
0.1,0.18947368421052632,67,0.018504262087028815
0.1,0.18947368421052632,68,0.018066496213395185
0.1,0.18947368421052632,69,0.01760726573817988
0.1,0.18947368421052632,70,0.017208489668588206
0.1,0.18947368421052632,71,0.01668031425544984
0.1,0.18947368421052632,72,0.016105289092478003
0.1,0.18947368421052632,73,0.015746920603297482
0.1,0.18947368421052632,74,0.015368728945039982
0.1,0.18947368421052632,75,0.014944747959798043
0.1,0.18947368421052632,76,0.014480235433111966
0.1,0.18947368421052632,77,0.01408749483751473
0.1,0.18947368421052632,78,0.013602829011525428
0.1,0.18947368421052632,79,0.013185154952662072
0.1,0.18947368421052632,80,0.012705903024946142
0.1,0.18947368421052632,81,0.012130457509767347
0.1,0.18947368421052632,82,0.011690048991329997
0.1,0.18947368421052632,83,0.011130345913943497
0.1,0.18947368421052632,84,0.010650456208228038
0.1,0.18947368421052632,85,0.01029989637397768
