initial_trust,initial_risk,round,quorum
0.1,0.18947368421052632,42,0.6243673197485506
0.1,0.18947368421052632,43,0.6242546060526283
0.1,0.18947368421052632,44,0.6241499176805192
0.1,0.18947368421052632,45,0.6239957612263429
0.1,0.18947368421052632,46,0.6238951158708554
0.1,0.18947368421052632,47,0.6237793816151956
0.1,0.18947368421052632,48,0.6236128974192805
0.1,0.18947368421052632,49,0.6234630410677735
0.1,0.18947368421052632,50,0.6233279844035399
0.1,0.18947368421052632,51,0.6232014827978746
0.1,0.18947368421052632,52,0.6230645493578192
0.1,0.18947368421052632,53,0.6229776658362542
0.1,0.18947368421052632,54,0.6228881015003148
0.1,0.18947368421052632,55,0.6227932984511984
0.1,0.18947368421052632,56,0.6227292116564126
0.1,0.18947368421052632,57,0.6226234441839701
0.1,0.18947368421052632,58,0.6225572503114387
0.1,0.18947368421052632,59,0.6224860907584969
0.1,0.18947368421052632,60,0.6224184449638589
0.1,0.18947368421052632,61,0.6223401877144927
0.1,0.18947368421052632,62,0.6222600050420133
0.1,0.18947368421052632,63,0.6221777752670493
0.1,0.18947368421052632,64,0.6220787988343823
0.1,0.18947368421052632,65,0.6219950309045384
0.1,0.18947368421052632,66,0.6219129753301387
0.1,0.18947368421052632,67,0.6218504262087029
0.1,0.18947368421052632,68,0.6218066496213396
0.1,0.18947368421052632,69,0.621760726573818
0.1,0.18947368421052632,70,0.6217208489668589
0.1,0.18947368421052632,71,0.621668031425545
0.1,0.18947368421052632,72,0.6216105289092478
0.1,0.18947368421052632,73,0.6215746920603298
0.1,0.18947368421052632,74,0.621536872894504
0.1,0.18947368421052632,75,0.6214944747959799
0.1,0.18947368421052632,76,0.6214480235433112
0.1,0.18947368421052632,77,0.6214087494837515
0.1,0.18947368421052632,78,0.6213602829011526
0.1,0.18947368421052632,79,0.6213185154952663
0.1,0.18947368421052632,80,0.6212705903024947
0.1,0.18947368421052632,81,0.6212130457509768
0.1,0.18947368421052632,82,0.6211690048991331
0.1,0.18947368421052632,83,0.6211130345913944
0.1,0.18947368421052632,84,0.6210650456208229
0.1,0.18947368421052632,85,0.6210299896373979
0.1,0.18947368421052632,86,0.6209846075796712
0.1,0.18947368421052632,87,0.6209303135161468
0.1,0.18947368421052632,88,0.6208779035458563
0.1,0.18947368421052632,89,0.6208336973181712
0.1,0.18947368421052632,90,0.6208133095337663
0.1,0.18947368421052632,91,0.6207953158625099
0.1,0.18947368421052632,92,0.6207717921001982
0.1,0.18947368421052632,93,0.6207499376261167
0.1,0.18947368421052632,94,0.6207325132580345
0.1,0.18947368421052632,95,0.6207143236631687
0.1,0.18947368421052632,96,0.6206982038421396
0.1,0.18947368421052632,97,0.6206806015936925
0.1,0.18947368421052632,98,0.6206569873388874
0.1,0.18947368421052632,99,0.6206386951029443
0.1,0.2368421052631579,0,0.63
0.1,0.2368421052631579,1,0.6298433903696119
0.1,0.2368421052631579,2,0.6296431064049784
0.1,0.2368421052631579,3,0.6294429594658187
0.1,0.2368421052631579,4,0.6292785402552841
0.1,0.2368421052631579,5,0.6291135965215147
0.1,0.2368421052631579,6,0.6289534475569971
0.1,0.2368421052631579,7,0.6288115701185539
0.1,0.2368421052631579,8,0.6286466215697784
0.1,0.2368421052631579,9,0.6285113307600506
0.1,0.2368421052631579,10,0.6283649178904683
0.1,0.2368421052631579,11,0.6282159793079389
0.1,0.2368421052631579,12,0.6280596949709936
0.1,0.2368421052631579,13,0.6279020204018353
0.1,0.2368421052631579,14,0.6277039041502368
0.1,0.2368421052631579,15,0.6275264324198168
0.1,0.2368421052631579,16,0.6273640273723882
0.1,0.2368421052631579,17,0.6272116898083614
0.1,0.2368421052631579,18,0.6270139453117244
0.1,0.2368421052631579,19,0.6268232368974301
0.1,0.2368421052631579,20,0.6266477597306779
0.1,0.2368421052631579,21,0.6264507403603508
0.1,0.2368421052631579,22,0.6262868769538844
0.1,0.2368421052631579,23,0.6261384490226856
0.1,0.2368421052631579,24,0.6259838530832685
0.1,0.2368421052631579,25,0.6258493749968393
0.1,0.2368421052631579,26,0.6256800798506691
0.1,0.2368421052631579,27,0.6254798834174731
0.1,0.2368421052631579,28,0.6253204595904656
0.1,0.2368421052631579,29,0.625178772047647
0.1,0.2368421052631579,30,0.6250450744276125
0.1,0.2368421052631579,31,0.624853555753883
0.1,0.2368421052631579,32,0.624717097618241
0.1,0.2368421052631579,33,0.6245815110881109
