initial_trust,initial_risk,round,governance_weight
0.1,0.14210526315789473,28,0.06289464126143515
0.1,0.14210526315789473,29,0.06181966549354026
0.1,0.14210526315789473,30,0.06007705413860409
0.1,0.14210526315789473,31,0.05959641098556455
0.1,0.14210526315789473,32,0.059900769560420855
0.1,0.14210526315789473,33,0.061222002262043135
0.1,0.14210526315789473,34,0.060041712426131086
0.1,0.14210526315789473,35,0.054609687734715015
0.1,0.14210526315789473,36,0.05647282872283855
0.1,0.14210526315789473,37,0.054926787486598495
0.1,0.14210526315789473,38,0.05339781223398995
0.1,0.14210526315789473,39,0.05404983282199286
0.1,0.14210526315789473,40,0.053410672819845344
0.1,0.14210526315789473,41,0.051026476473889235
0.1,0.14210526315789473,42,0.05033096535858403
0.1,0.14210526315789473,43,0.05078641265640441
0.1,0.14210526315789473,44,0.048052860996358714
0.1,0.14210526315789473,45,0.048863373817203584
0.1,0.14210526315789473,46,0.04521996833516585
0.1,0.14210526315789473,47,0.046432614836093906
0.1,0.14210526315789473,48,0.04730214702540674
0.1,0.14210526315789473,49,0.043921750911731075
0.1,0.14210526315789473,50,0.04605635910663945
0.1,0.14210526315789473,51,0.045431467931994804
0.1,0.14210526315789473,52,0.04488670178912434
0.1,0.14210526315789473,53,0.04376268088621788
0.1,0.14210526315789473,54,0.04030770330530198
0.1,0.14210526315789473,55,0.04166820585447918
0.1,0.14210526315789473,56,0.04133572709383984
0.1,0.14210526315789473,57,0.040497787921833256
0.1,0.14210526315789473,58,0.03979283798823997
0.1,0.14210526315789473,59,0.03604571538429919
0.1,0.14210526315789473,60,0.035505260884463034
0.1,0.14210526315789473,61,0.03700350766669278
0.1,0.14210526315789473,62,0.03416813044728573
0.1,0.14210526315789473,63,0.035829417698399264
0.1,0.14210526315789473,64,0.03471708500254507
0.1,0.14210526315789473,65,0.03356749156290203
0.1,0.14210526315789473,66,0.03363416085914223
0.1,0.14210526315789473,67,0.03221598475365204
0.1,0.14210526315789473,68,0.029883190174866913
0.1,0.14210526315789473,69,0.02849555993783469
0.1,0.14210526315789473,70,0.029618969755807977
0.1,0.14210526315789473,71,0.028929109328696974
0.1,0.14210526315789473,72,0.026336891079732836
0.1,0.14210526315789473,73,0.024912425355562467
0.1,0.14210526315789473,74,0.025925285171662465
0.1,0.14210526315789473,75,0.025843472472968736
0.1,0.14210526315789473,76,0.025709454935433796
0.1,0.14210526315789473,77,0.023909483689500587
0.1,0.14210526315789473,78,0.024309111832000036
0.1,0.14210526315789473,79,0.02413663963347117
0.1,0.14210526315789473,80,0.023971493528482716
0.1,0.14210526315789473,81,0.022416330914103555
0.1,0.14210526315789473,82,0.022528632355763262
0.1,0.14210526315789473,83,0.020904352941506686
0.1,0.14210526315789473,84,0.021372401543452366
0.1,0.14210526315789473,85,0.021308423681590152
0.1,0.14210526315789473,86,0.019524458473536694
0.1,0.14210526315789473,87,0.019813344380092978
0.1,0.14210526315789473,88,0.01982788631046332
0.1,0.14210526315789473,89,0.017907338019899126
0.1,0.14210526315789473,90,0.018630539567311227
0.1,0.14210526315789473,91,0.01746552334582935
0.1,0.14210526315789473,92,0.017687206383361125
0.1,0.14210526315789473,93,0.017277302777216525
0.1,0.14210526315789473,94,0.015740797774999846
0.1,0.14210526315789473,95,0.015499944744017903
0.1,0.14210526315789473,96,0.015826309534095993
0.1,0.14210526315789473,97,0.015869133705045724
0.1,0.14210526315789473,98,0.01579444087028033
0.1,0.14210526315789473,99,0.014660126543984476
0.1,0.18947368421052632,0,0.08577259329806958
0.1,0.18947368421052632,1,0.0824977914805761
0.1,0.18947368421052632,2,0.077654605057329
0.1,0.18947368421052632,3,0.07601762936684578
0.1,0.18947368421052632,4,0.07650092524141787
0.1,0.18947368421052632,5,0.07610099983712314
0.1,0.18947368421052632,6,0.07720869160888326
0.1,0.18947368421052632,7,0.07737667301396402
0.1,0.18947368421052632,8,0.07548068826701085
0.1,0.18947368421052632,9,0.07465946604211555
0.1,0.18947368421052632,10,0.06930062736487717
0.1,0.18947368421052632,11,0.07016898974463735
0.1,0.18947368421052632,12,0.0718778859625016
0.1,0.18947368421052632,13,0.0719768833036597
0.1,0.18947368421052632,14,0.07009973957025946
0.1,0.18947368421052632,15,0.06300821236946046
0.1,0.18947368421052632,16,0.06364676979509942
0.1,0.18947368421052632,17,0.06654699884557048
0.1,0.18947368421052632,18,0.06653881715436898
0.1,0.18947368421052632,19,0.06040127489303739
0.1,0.18947368421052632,20,0.06469528552313418
0.1,0.18947368421052632,21,0.058176661744079324
0.1,0.18947368421052632,22,0.05942431132941204
0.1,0.18947368421052632,23,0.05809466540982597
0.1,0.18947368421052632,24,0.059225444316925675
0.1,0.18947368421052632,25,0.05296466998943766
0.1,0.18947368421052632,26,0.05629275530836415
0.1,0.18947368421052632,27,0.050738391164633016
0.1,0.18947368421052632,28,0.05157432623976689
0.1,0.18947368421052632,29,0.04859143299112952
0.1,0.18947368421052632,30,0.0523150195972384
0.1,0.18947368421052632,31,0.046629655478182125
0.1,0.18947368421052632,32,0.04970330150478568
0.1,0.18947368421052632,33,0.04917843935115134
0.1,0.18947368421052632,34,0.04703007756487583
0.1,0.18947368421052632,35,0.04597760793037533
0.1,0.18947368421052632,36,0.04272750146843305
0.1,0.18947368421052632,37,0.042038258811575406
0.1,0.18947368421052632,38,0.04169464922563768
0.1,0.18947368421052632,39,0.03913440382183566
0.1,0.18947368421052632,40,0.039223739179151354
0.1,0.18947368421052632,41,0.036395049471827416
0.1,0.18947368421052632,42,0.038763809624263325
0.1,0.18947368421052632,43,0.03682474813429833
0.1,0.18947368421052632,44,0.03430384604186771
0.1,0.18947368421052632,45,0.03289193924231029
0.1,0.18947368421052632,46,0.031682550303043656
0.1,0.18947368421052632,47,0.03161242912389295
0.1,0.18947368421052632,48,0.03140287233050647
0.1,0.18947368421052632,49,0.029173641744254013
0.1,0.18947368421052632,50,0.029835982513836866
0.1,0.18947368421052632,51,0.02754313079618219
0.1,0.18947368421052632,52,0.027433064397761584
0.1,0.18947368421052632,53,0.02638974186511759
0.1,0.18947368421052632,54,0.024861105085113227
0.1,0.18947368421052632,55,0.02262258055355693
0.1,0.18947368421052632,56,0.023250454682897905
0.1,0.18947368421052632,57,0.02276801257372745
0.1,0.18947368421052632,58,0.021708117857047217
0.1,0.18947368421052632,59,0.020057117267147467
0.1,0.18947368421052632,60,0.01953289143677709
0.1,0.18947368421052632,61,0.019556788022854026
0.1,0.18947368421052632,62,0.019519492847095855
0.1,0.18947368421052632,63,0.017666169164981586
0.1,0.18947368421052632,64,0.018398264637108103
0.1,0.18947368421052632,65,0.016735316777936583
0.1,0.18947368421052632,66,0.01631006775784399
0.1,0.18947368421052632,67,0.016141570535391
0.1,0.18947368421052632,68,0.014337991083138726
0.1,0.18947368421052632,69,0.013696033607725809
0.1,0.18947368421052632,70,0.014853244482409711
0.1,0.18947368421052632,71,0.013058385299684817
0.1,0.18947368421052632,72,0.013931026385803213
0.1,0.18947368421052632,73,0.013170970406739268
0.1,0.18947368421052632,74,0.012315847787407012
0.1,0.18947368421052632,75,0.012342849271477585
0.1,0.18947368421052632,76,0.012135189545415637
0.1,0.18947368421052632,77,0.011094534049297932
0.1,0.18947368421052632,78,0.011428492367135546
0.1,0.18947368421052632,79,0.010824064516990079
0.1,0.18947368421052632,80,0.010092532754285271
0.1,0.18947368421052632,81,0.010096931272830572
0.1,0.18947368421052632,82,0.009577133626402893
0.1,0.18947368421052632,83,0.008862952528678929
0.1,0.18947368421052632,84,0.00891515858378835
0.1,0.18947368421052632,85,0.008544045591395471
0.1,0.18947368421052632,86,0.0075647362559852814
0.1,0.18947368421052632,87,0.0075147832907050275
0.1,0.18947368421052632,88,0.006846937974842729
0.1,0.18947368421052632,89,0.006411255795426511
0.1,0.18947368421052632,90,0.006322128826741083
0.1,0.18947368421052632,91,0.0060780989725849775
0.1,0.18947368421052632,92,0.006036519670001688
0.1,0.18947368421052632,93,0.006291101434197297
