theta_seq,physics_alarm_seq
249.24681416198737,1
236.86546208468,1
228.93728413357988,1
253.4559705542291,1
247.535215928886,1
265.86749857115035,1
253.1795201340281,1
246.15052046798704,1
247.60372955971755,1
235.5916737899009,1
225.03651771906627,1
222.177862489997,1
213.3504276254483,1
209.68932730603467,1
200.4277641828016,1
202.86439981213564,1
213.0197155364513,1
224.16469167230832,1
233.76950759513596,1
226.35831452857775,1
253.55650628636064,1
246.96601529420872,1
242.01336215289768,1
253.94353119440004,1
242.44897342454428,1
231.80203169380871,1
230.8502627730075,1
243.8566664537306,1
252.94300351190603,1
251.82652945646907,1
240.39697733813128,1
252.80503944332128,1
253.15328011554368,1
247.40672011206192,1
236.79708888197945,1
256.2761417938642,1
252.9507517074392,1
253.41853908326192,1
242.02245580389572,1
233.02650907876415,1
257.61780297058027,1
243.2221217346157,1
235.4174902266336,1
255.1251820188649,1
268.3522641139653,1
256.668739775179,1
280.0058450539228,1
269.3798336908814,1
275.50643733293964,1
270.0779203241647,1
260.47540677874,1
274.23002966815227,1
294.9646229461515,1
312.3971391464787,1
296.0858150606971,1
284.4977691945637,1
277.012960863221,1
263.21086835163624,1
250.4808063554617,1
246.10516444336048,1
234.58523288144184,1
246.392056679852,1
239.59847798733435,1
241.94800765397127,1
232.58753019898808,1
226.88239262862123,1
225.28497329171623,1
225.43604271013288,1
224.97690285034167,1
253.14246150181603,1
263.6474347679249,1
250.48210532664797,1
261.7486993874029,1
255.05660172712825,1
243.89157837425464,1
232.3606093463561,1
241.07187719644944,1
266.2183897505548,1
289.9052505592779,1
286.31581158512176,1
277.05470681093334,1
268.61389054723185,1
291.36165873172416,1
284.61744317971466,1
278.8457389590069,1
266.8101851994782,1
280.7072323726471,1
283.55480209577445,1
273.2190019359003,1
264.17182262654177,1
269.76991598048977,1
265.28641494616147,1
259.2321034973498,1
248.81952202111484,1
250.81183517661887,1
254.51561182460105,1
251.7301358055793,1
259.1502207324328,1
255.3107358818422,1
251.9246518186564,1
249.16541171706385,1
239.597673126146,1
256.47448833847983,1
246.05572630218344,1
245.1791651004745,1
233.35794254859653,1
225.099997815496,1
215.42633066753467,1
223.33647769621908,1
213.51173120290608,1
203.6338067570689,1
195.6029023159354,1
187.71690683138124,1
179.86957308855534,1
173.062658861462,1
167.72180370221082,1
162.38532015527292,1
158.28711848596635,1
153.23687082442137,1
149.99655647239075,1
147.91123442450538,1
144.9826654807116,1
142.10396795125618,1
140.13012490301912,1
136.43806213677394,1
134.0347399330569,1
133.37472600526104,1
131.15606406549284,1
129.83267771902138,1
127.95113477152836,1
126.29230215641292,1
124.92933831248963,1
123.4914917860208,1
122.03215300124494,1
120.83897183826598,1
120.4141854012412,1
120.12275370369916,1
119.41693819106683,1
119.95679935377042,1
119.94573926068894,1
119.02992281022496,1
118.40501480475564,1
118.00922986993194,1
117.63511044688173,1
117.51566294247364,1
117.07126957042207,1
116.10349194001282,1
116.58599406438267,1
114.99749069344765,1
115.25686218949406,1
114.54902343705233,1
114.36204894599076,1
114.90981109866225,1
115.01212252906524,1
114.82596677736814,1
115.10063187493436,1
114.93307598593996,1
115.2511549839898,1
114.91252110586598,1
115.28578696575256,1
114.6465135552409,1
114.9426025940696,1
113.7101765814247,1
114.35643720349256,1
114.99269572369708,1
115.71456829733653,1
115.86158773184673,1
116.84585605554672,1
115.97930228237212,1
115.59116020445364,1
118.47057449862088,1
154.4182394427695,1
157.5061076093909,1
160.28118313744602,1
167.05128836889702,1
165.6847043226871,1
172.08951996582286,1
185.8328342474236,1
186.20252720688663,1
188.51980381727435,1
186.97190217506875,1
188.39396298146067,1
209.5670328507384,1
201.3986951606616,1
195.37094092098727,1
