initial_trust,initial_risk,survivability,final_trust,mean_quorum
0.24210526315789474,0.0,0.0,0.23269137502461867,0.6437355684948559
0.24210526315789474,0.04736842105263158,0.0,0.2102926366595716,0.6426490680866234
0.24210526315789474,0.09473684210526316,0.0,0.17902479976316013,0.6411050001521527
0.24210526315789474,0.14210526315789473,0.0,0.1401454531391108,0.6391368869041913
0.24210526315789474,0.18947368421052632,0.0,0.10975579616415569,0.6377009017008204
0.24210526315789474,0.2368421052631579,0.0,0.07569924339852155,0.6360572069624195
0.24210526315789474,0.28421052631578947,0.0,0.05349027976510541,0.6343649778031488
0.24210526315789474,0.3315789473684211,0.0,0.03688074611373367,0.6329631498036964
0.24210526315789474,0.37894736842105264,0.0,0.027036549643144264,0.6318648064888615
0.24210526315789474,0.4263157894736842,0.0,0.01792503414079451,0.6307642692856711
0.24210526315789474,0.4736842105263158,0.0,0.013612183571849054,0.62987415114146
0.24210526315789474,0.5210526315789474,0.0,0.00845390201807876,0.6290697913588005
0.24210526315789474,0.5684210526315789,0.0,0.00327887430786676,0.6283346652628069
0.24210526315789474,0.6157894736842106,0.0,0.0,0.6278097809773727
0.24210526315789474,0.6631578947368422,0.0,0.0,0.6272172931882635
0.24210526315789474,0.7105263157894737,0.0,0.0,0.6267409327930006
0.24210526315789474,0.7578947368421053,0.0,0.0,0.6263726879131687
0.24210526315789474,0.8052631578947369,0.0,0.0,0.6259741790804543
0.24210526315789474,0.8526315789473684,0.0,0.0,0.6256360225484401
0.24210526315789474,0.9,0.0,0.0,0.6253769578166062
0.2894736842105263,0.0,0.0,0.281581900830751,0.6485536907767776
0.2894736842105263,0.04736842105263158,0.0,0.25585381144991676,0.6473467407200976
0.2894736842105263,0.09473684210526316,0.0,0.2241376799842841,0.6456951304055879
0.2894736842105263,0.14210526315789473,0.0,0.1932927442238339,0.6441187778574647
0.2894736842105263,0.18947368421052632,0.0,0.15707660696155779,0.6423572524699002
0.2894736842105263,0.2368421052631579,0.0,0.12413374052157432,0.6406898648323999
0.2894736842105263,0.28421052631578947,0.0,0.08795417987439307,0.6389895055127437
0.2894736842105263,0.3315789473684211,0.0,0.06677948321394402,0.6374855569808472
0.2894736842105263,0.37894736842105264,0.0,0.04946313545119389,0.6360939819438758
0.2894736842105263,0.4263157894736842,0.0,0.038403868844806927,0.6348379835428097
0.2894736842105263,0.4736842105263158,0.0,0.026246041306438588,0.6336607513462273
0.2894736842105263,0.5210526315789474,0.0,0.01991210890656728,0.6325622074965023
0.2894736842105263,0.5684210526315789,0.0,0.015561974986316032,0.6317086152048463
0.2894736842105263,0.6157894736842106,0.0,0.010714513198503148,0.6309964352452924
0.2894736842105263,0.6631578947368422,0.0,0.006109331328753212,0.6301764382861138
0.2894736842105263,0.7105263157894737,0.0,0.0014230326601662193,0.6296130236272073
0.2894736842105263,0.7578947368421053,0.0,0.0,0.6290584687129046
0.2894736842105263,0.8052631578947369,0.0,0.0,0.6285048619354402
0.2894736842105263,0.8526315789473684,0.0,0.0,0.6281079633142292
0.2894736842105263,0.9,0.0,0.0,0.6276339651454326
0.33684210526315794,0.0,0.0,0.32655126688346914,0.6532432216884888
0.33684210526315794,0.04736842105263158,0.0,0.30517333555164405,0.6520927463686881
0.33684210526315794,0.09473684210526316,0.0,0.27095007064748095,0.6504192873748973
0.33684210526315794,0.14210526315789473,0.0,0.23660760071011774,0.6487857427776844
0.33684210526315794,0.18947368421052632,0.0,0.2053384825330648,0.6472022745371775
0.33684210526315794,0.2368421052631579,0.0,0.17143756513708164,0.6454429256258932
0.33684210526315794,0.28421052631578947,0.0,0.13821667518488912,0.6438453922486711
0.33684210526315794,0.3315789473684211,0.0,0.10211368040623697,0.6420251906849509
0.33684210526315794,0.37894736842105264,0.0,0.08208463127447338,0.640613475754158
0.33684210526315794,0.4263157894736842,0.0,0.06228048605625939,0.6392200061211879
0.33684210526315794,0.4736842105263158,0.0,0.04837119300599975,0.6376585647496319
0.33684210526315794,0.5210526315789474,0.0,0.038431428083374235,0.636554547858618
0.33684210526315794,0.5684210526315789,0.0,0.027665457983344063,0.6355408303790009
0.33684210526315794,0.6157894736842106,0.0,0.02239420700024355,0.6343736658546306
0.33684210526315794,0.6631578947368422,0.0,0.018098268364703053,0.633635533151466
0.33684210526315794,0.7105263157894737,0.0,0.013161654929082847,0.6328239600261951
0.33684210526315794,0.7578947368421053,0.0,0.008509723910988053,0.6320925990907118
0.33684210526315794,0.8052631578947369,0.0,0.0037533712260431154,0.6314218471215975
0.33684210526315794,0.8526315789473684,0.0,0.0,0.6309202112723519
0.33684210526315794,0.9,0.0,0.0,0.6302556897888925
0.38421052631578945,0.0,0.0,0.3748885237704488,0.6580106324230247
0.38421052631578945,0.04736842105263158,0.0,0.34917827079470254,0.6567330361555919
0.38421052631578945,0.09473684210526316,0.0,0.3163878046187196,0.6551382322996537
0.38421052631578945,0.14210526315789473,0.0,0.2858750117753811,0.6534793185108463
0.38421052631578945,0.18947368421052632,0.0,0.24973698506851727,0.6516933697677351
0.38421052631578945,0.2368421052631579,0.0,0.22033463012478122,0.650289196262586
0.38421052631578945,0.28421052631578947,0.0,0.1834152226397314,0.6486052853998879
0.38421052631578945,0.3315789473684211,0.0,0.15614421994995564,0.6472066717665678
0.38421052631578945,0.37894736842105264,0.0,0.12081563497801101,0.6453987236322563
0.38421052631578945,0.4263157894736842,0.0,0.09594245429102513,0.6436213262720023
0.38421052631578945,0.4736842105263158,0.0,0.07611394801766873,0.642297790816974
0.38421052631578945,0.5210526315789474,0.0,0.061656007978347374,0.6408194769152548
